ID	project	sample	group	experiment	run	ftp_path	forward	forward_md5	reverse	reverse_md5
200107_SEQ064_DP800007400TR_L01_SP1912230324	CNP0001930	PB14	Prydz_Bay	CNX0373397	CNR0453403	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410466/CNX0373397/CNR0453403/	200107_SEQ064_DP800007400TR_L01_SP1912230324_R1.fq.gz	200107_SEQ064_DP800007400TR_L01_SP1912230324_R1.fq.gz.md5	200107_SEQ064_DP800007400TR_L01_SP1912230324_R2.fq.gz	200107_SEQ064_DP800007400TR_L01_SP1912230324_R2.fq.gz.md5
200108_SEQ064_DP800007399TR_L01_SP1912230324	CNP0001930	PB14	Prydz_Bay	CNX0373397	CNR0453404	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410466/CNX0373397/CNR0453404/	200108_SEQ064_DP800007399TR_L01_SP1912230324_R1.fq.gz	200108_SEQ064_DP800007399TR_L01_SP1912230324_R1.fq.gz.md5	200108_SEQ064_DP800007399TR_L01_SP1912230324_R2.fq.gz	200108_SEQ064_DP800007399TR_L01_SP1912230324_R2.fq.gz.md5
200120_SEQ011_FP100000782BL_L01_SP1912230450	CNP0001930	PB14	Prydz_Bay	CNX0373397	CNR0453405	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410466/CNX0373397/CNR0453405/	200120_SEQ011_FP100000782BL_L01_SP1912230450_R1.fq.gz	200120_SEQ011_FP100000782BL_L01_SP1912230450_R1.fq.gz.md5	200120_SEQ011_FP100000782BL_L01_SP1912230450_R2.fq.gz	200120_SEQ011_FP100000782BL_L01_SP1912230450_R2.fq.gz.md5
200120_SEQ084_DP8400008425TL_L01_SP1912230387	CNP0001930	PB14	Prydz_Bay	CNX0373397	CNR0453406	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410466/CNX0373397/CNR0453406/	200120_SEQ084_DP8400008425TL_L01_SP1912230387_R1.fq.gz	200120_SEQ084_DP8400008425TL_L01_SP1912230387_R1.fq.gz.md5	200120_SEQ084_DP8400008425TL_L01_SP1912230387_R2.fq.gz	200120_SEQ084_DP8400008425TL_L01_SP1912230387_R2.fq.gz.md5
200122_SEQ084_DP8400008424TL_L01_SP1912230387	CNP0001930	PB14	Prydz_Bay	CNX0373397	CNR0453407	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410466/CNX0373397/CNR0453407/	200122_SEQ084_DP8400008424TL_L01_SP1912230387_R1.fq.gz	200122_SEQ084_DP8400008424TL_L01_SP1912230387_R1.fq.gz.md5	200122_SEQ084_DP8400008424TL_L01_SP1912230387_R2.fq.gz	200122_SEQ084_DP8400008424TL_L01_SP1912230387_R2.fq.gz.md5
200217_SEQ111_DP8400008440BR_L01_SP1912230450	CNP0001930	PB14	Prydz_Bay	CNX0373397	CNR0453408	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410466/CNX0373397/CNR0453408/	200217_SEQ111_DP8400008440BR_L01_SP1912230450_R1.fq.gz	200217_SEQ111_DP8400008440BR_L01_SP1912230450_R1.fq.gz.md5	200217_SEQ111_DP8400008440BR_L01_SP1912230450_R2.fq.gz	200217_SEQ111_DP8400008440BR_L01_SP1912230450_R2.fq.gz.md5
200321_SEQ091_DP8400009235TL_L01_SP1912230387	CNP0001930	PB14	Prydz_Bay	CNX0373397	CNR0453409	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410466/CNX0373397/CNR0453409/	200321_SEQ091_DP8400009235TL_L01_SP1912230387_R1.fq.gz	200321_SEQ091_DP8400009235TL_L01_SP1912230387_R1.fq.gz.md5	200321_SEQ091_DP8400009235TL_L01_SP1912230387_R2.fq.gz	200321_SEQ091_DP8400009235TL_L01_SP1912230387_R2.fq.gz.md5
200107_SEQ064_DP800007400TR_L01_SP1912230325	CNP0001930	PB15	Prydz_Bay	CNX0373398	CNR0453410	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410467/CNX0373398/CNR0453410/	200107_SEQ064_DP800007400TR_L01_SP1912230325_R1.fq.gz	200107_SEQ064_DP800007400TR_L01_SP1912230325_R1.fq.gz.md5	200107_SEQ064_DP800007400TR_L01_SP1912230325_R2.fq.gz	200107_SEQ064_DP800007400TR_L01_SP1912230325_R2.fq.gz.md5
200108_SEQ064_DP800007399TR_L01_SP1912230325	CNP0001930	PB15	Prydz_Bay	CNX0373398	CNR0453411	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410467/CNX0373398/CNR0453411/	200108_SEQ064_DP800007399TR_L01_SP1912230325_R1.fq.gz	200108_SEQ064_DP800007399TR_L01_SP1912230325_R1.fq.gz.md5	200108_SEQ064_DP800007399TR_L01_SP1912230325_R2.fq.gz	200108_SEQ064_DP800007399TR_L01_SP1912230325_R2.fq.gz.md5
200121_SEQ114_DP8400008385TL_L01_SP1912230388	CNP0001930	PB15	Prydz_Bay	CNX0373398	CNR0453412	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410467/CNX0373398/CNR0453412/	200121_SEQ114_DP8400008385TL_L01_SP1912230388_R1.fq.gz	200121_SEQ114_DP8400008385TL_L01_SP1912230388_R1.fq.gz.md5	200121_SEQ114_DP8400008385TL_L01_SP1912230388_R2.fq.gz	200121_SEQ114_DP8400008385TL_L01_SP1912230388_R2.fq.gz.md5
